OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.3296341455790709,0.430040042528151,261.0790684449777*(x-0.3296341455790709)*(x-0.3296341455790709)*(x-0.3296341455790709)-39.320817062772406*(x-0.3296341455790709)*(x-0.3296341455790709)+0.0*(x-0.3296341455790709)+1.126929022625978
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.430040042528151,0.5313355986215491,-74.48324803404353*(x-0.43004004252815103)*(x-0.43004004252815103)*(x-0.43004004252815103)+11.317233043876406*(x-0.43004004252815103)*(x-0.43004004252815103)+0.0*(x-0.43004004252815103)+0.9947934597058765
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.5313355986215491,0.6312117089042629,120.70233412486185*(x-0.5313355986215491)*(x-0.5313355986215491)*(x-0.5313355986215491)-18.08291945165351*(x-0.5313355986215491)*(x-0.5313355986215491)+0.0*(x-0.5313355986215491)+1.0335013757295748
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.6312117089042629,0.7325727910965852,-88.39262442619261*(x-0.6312117089042629)*(x-0.6312117089042629)*(x-0.6312117089042629)+13.439358104487578*(x-0.6312117089042629)*(x-0.6312117089042629)+0.0*(x-0.6312117089042629)+0.9733742375597616
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.7325727910965852,0.8217813503854019,90.32587692264073*(x-0.7325727910965852)*(x-0.7325727910965852)*(x-0.7325727910965852)-12.086762020151626*(x-0.7325727910965852)*(x-0.7325727910965852)+0.0*(x-0.7325727910965852)+1.019399868311567
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.8217813503854019,0.9048280921253412,-36.42837294548316*(x-0.8217813503854019)*(x-0.8217813503854019)*(x-0.8217813503854019)+4.537886520014593*(x-0.8217813503854019)*(x-0.8217813503854019)+0.0*(x-0.8217813503854019)+0.9873370445600231
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.9048280921253412,0.9849986052684884,87.07566790905139*(x-0.9048280921253411)*(x-0.9048280921253411)*(x-0.9048280921253411)-22.21355628145753*(x-0.9048280921253411)*(x-0.9048280921253411)+0.0*(x-0.9048280921253411)+0.9977692846256349
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.9849986052684884,1.1,0.8998642689321941
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,-15.0,0.0,1.4094174693269172
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.0,0.0717003567774229,1.4094174693269172
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.0717003567774229,0.2490319098541831,3.3679265235024*(x-0.07170035677742297)*(x-0.07170035677742297)*(x-0.07170035677742297)-2.611472980868367*(x-0.07170035677742297)*(x-0.07170035677742297)-0.8155258081333372*(x-0.07170035677742297)+1.4094174693269172
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.2490319098541831,0.3498035983117909,201.06138013217142*(x-0.24903190985418316)*(x-0.24903190985418316)*(x-0.24903190985418316)-23.326512108139617*(x-0.24903190985418316)*(x-0.24903190985418316)-1.4239906278389933*(x-0.24903190985418316)+1.2014584633316718
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.3498035983117909,0.4503754174091297,-38.59301927677431*(x-0.3498035983117909)*(x-0.3498035983117909)*(x-0.3498035983117909)+5.8220552296857795*(x-0.3498035983117909)*(x-0.3498035983117909)+0.0*(x-0.3498035983117909)+1.0268334460145359
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.4503754174091297,0.5509867442824141,31.6981894921439*(x-0.4503754174091297)*(x-0.4503754174091297)*(x-0.4503754174091297)-6.294047416174407*(x-0.4503754174091297)*(x-0.4503754174091297)+0.0*(x-0.4503754174091297)+1.0464628754974346
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.5509867442824141,0.6515785388884241,28.444664987708947*(x-0.5509867442824141)*(x-0.5509867442824141)*(x-0.5509867442824141)-2.781404536349187*(x-0.5509867442824141)*(x-0.5509867442824141)-0.3038969272883735*(x-0.5509867442824141)+1.0150335943210262
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.6515785388884241,0.7415887545653719,-2.4432169911783785*(x-0.6515785388884241)*(x-0.6515785388884241)*(x-0.6515785388884241)+0.3298717324823239*(x-0.6515785388884241)*(x-0.6515785388884241)+0.0*(x-0.6515785388884241)+0.985272494956994
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.7415887545653719,0.8216193512981557,35.00584762313044*(x-0.7415887545653719)*(x-0.7415887545653719)*(x-0.7415887545653719)-4.202308311624046*(x-0.7415887545653719)*(x-0.7415887545653719)+0.0*(x-0.7415887545653719)+0.9861633508379547
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.8216193512981557,0.9051417355960296,-24.25445763134071*(x-0.8216193512981557)*(x-0.8216193512981557)*(x-0.8216193512981557)+3.0386851968320108*(x-0.8216193512981557)*(x-0.8216193512981557)+0.0*(x-0.8216193512981557)+0.9771915676935731
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.9051417355960296,0.9850183014991716,76.26164467283607*(x-0.9051417355960296)*(x-0.9051417355960296)*(x-0.9051417355960296)-19.021550315265934*(x-0.9051417355960296)*(x-0.9051417355960296)+0.0*(x-0.9051417355960296)+0.9842575122040872
shape,iterativefit,central,5,0.0,2.5,100.0,140.0,0.9850183014991716,1.1,0.9017604713110405
shape,iterativefit,central,5,0.0,2.5,140.0,10000.0,-15.0,0.0,1.6865280838751995
shape,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.0,0.0734576274474682,1.6865280838751995
shape,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.0734576274474682,0.2495600397435786,34.23772146834899*(x-0.0734576274474682)*(x-0.0734576274474682)*(x-0.0734576274474682)+5.754740005902863*(x-0.0734576274474682)*(x-0.0734576274474682)-5.462377237886369*(x-0.0734576274474682)+1.6865280838751995
shape,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.2495600397435786,0.348890008463926,-21.819163587994172*(x-0.24956003974357863)*(x-0.24956003974357863)*(x-0.24956003974357863)+3.261936965009011*(x-0.24956003974357863)*(x-0.24956003974357863)-0.2501832656038815*(x-0.24956003974357863)+1.0900390327502996
shape,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.348890008463926,0.4508131799764808,174.846185389075*(x-0.34889000846392604)*(x-0.34889000846392604)*(x-0.34889000846392604)-25.514715669396224*(x-0.34889000846392604)*(x-0.34889000846392604)-0.2479996531909402*(x-0.34889000846392604)+1.0759885408912557
